Category,Score,World Rank,University Name
teaching,37.30,167,Technical University of Denmark
teaching,38.70,167,Université Catholique de Louvain
teaching,29.70,172,University of Aberdeen
teaching,31.40,172,University of Auckland
teaching,38.50,174,University of Barcelona
teaching,38.50,175,University of Konstanz
teaching,34.30,176,Eindhoven University of Technology
teaching,35.00,176,University College Dublin
teaching,45.80,178,Hebrew University of Jerusalem
teaching,35.40,179,University of Waterloo
teaching,28.50,180,University of Gothenburg
teaching,42.50,180,Scuola Superiore Sant’Anna
teaching,32.50,182,University of Bergen
teaching,30.90,182,Cardiff University
teaching,35.60,182,University of Utah
teaching,28.30,185,Brandeis University
teaching,25.60,185,University of Dundee
teaching,34.60,185,University of Würzburg
teaching,38.70,188,Paris-Sud University
teaching,32.40,189,Arizona State University
teaching,31.60,190,University of Antwerp
teaching,34.10,190,Boston College
teaching,35.20,192,Ulm University
teaching,25.00,193,University of Luxembourg
teaching,49.40,193,Texas A&M University
teaching,37.30,195,Charité - Universitätsmedizin Berlin
teaching,30.90,196,Newcastle University
teaching,25.60,196,"St George’s, University of London"
teaching,30.80,198,University of Trento
teaching,30.50,199,Paris Diderot University – Paris 7
teaching,34.10,200,Queen’s University Belfast
teaching,25.10,201-250,Aalborg University
teaching,33.50,201-250,"Birkbeck, University of London"
teaching,39.30,201-250,University of Bologna
teaching,36.50,201-250,University at Buffalo
teaching,33.90,201-250,University of Calgary
teaching,36.60,201-250,Chalmers University of Technology
teaching,32.10,201-250,City University of Hong Kong
teaching,19.30,201-250,Copenhagen Business School
teaching,30.40,201-250,Dalhousie University
teaching,32.30,201-250,University of Duisburg-Essen
teaching,41.60,201-250,École Normale Supérieure de Lyon
teaching,38.50,201-250,Florida State University
teaching,32.30,201-250,University of Fribourg
teaching,44.70,201-250,Fudan University
teaching,44.70,201-250,George Washington University
teaching,35.80,201-250,Goethe University Frankfurt
teaching,32.00,201-250,University of Hawai’i at Mānoa
teaching,29.30,201-250,Hong Kong Polytechnic University
teaching,40.90,201-250,University of Illinois at Chicago
teaching,43.00,201-250,Indiana University
teaching,41.00,201-250,University of Iowa
teaching,34.90,201-250,Johannes Gutenberg University of Mainz
teaching,34.20,201-250,Joseph Fourier University
teaching,32.30,201-250,University of Kiel
teaching,37.50,201-250,Laval University
teaching,26.60,201-250,Medical University of Vienna
teaching,35.50,201-250,Northeastern University
teaching,27.80,201-250,Oregon Health and Science University
teaching,30.70,201-250,University of Otago
teaching,37.10,201-250,University of Ottawa
teaching,24.60,201-250,Paris Descartes University
teaching,30.80,201-250,Peter the Great St Petersburg Polytechnic University
teaching,30.10,201-250,Polytechnic University of Milan
teaching,26.00,201-250,Royal Veterinary College
teaching,37.70,201-250,Rush University
teaching,38.00,201-250,Sapienza University of Rome
teaching,46.70,201-250,University of Science and Technology of China
teaching,24.80,201-250,University of South Florida
teaching,32.60,201-250,Stony Brook University
teaching,40.00,201-250,University of Stuttgart
teaching,31.50,201-250,Swedish University of Agricultural Sciences
teaching,37.10,201-250,Technical University of Darmstadt
teaching,27.00,201-250,University of Technology Sydney
teaching,41.00,201-250,Tel Aviv University
teaching,24.30,201-250,University of Texas at Dallas
teaching,34.10,201-250,Tilburg University
teaching,45.30,201-250,Tohoku University
teaching,45.60,201-250,Tokyo Institute of Technology
teaching,20.60,201-250,University of Victoria
teaching,34.60,201-250,Wake Forest University
teaching,38.60,201-250,University of Western Ontario
teaching,38.50,201-250,William & Mary
teaching,26.20,201-250,University of the Witwatersrand
teaching,31.10,251-300,Aalto University
teaching,36.70,251-300,Aix-Marseille University
teaching,28.90,251-300,University of Bath
teaching,32.20,251-300,Bayreuth University
teaching,35.20,251-300,Bielefeld University
teaching,25.30,251-300,University of Bordeaux
teaching,17.80,251-300,Charles Darwin University
